AGE,CITY,COURSE,SLEEP_HOURS,PERFORMANCE
20,Kanpur,BCA,7,Good
21,Delhi,BCA,8,Excellent
19,Lucknow,BCA,6,Average
22,Kanpur,BCA,9,Excellent
20,Delhi,BCA,7,Good
23,Lucknow,BCA,6,Average
21,Kanpur,BCA,8,Excellent
19,Delhi,BCA,5,Poor
22,Lucknow,BCA,7,Good
20,Kanpur,BCA,8,Excellent
21,Delhi,BCA,6,Average
24,Lucknow,BCA,9,Excellent
19,Kanpur,BCA,7,Good
22,Delhi,BCA,8,Excellent
23,Lucknow,BCA,6,Average
20,Kanpur,BCA,7,Good
21,Delhi,BCA,8,Excellent
19,Lucknow,BCA,6,Average
24,Kanpur,BCA,9,Excellent
22,Delhi,BCA,7,Good
20,Lucknow,BCA,6,Average
23,Kanpur,BCA,8,Excellent
21,Delhi,BCA,7,Good
19,Lucknow,BCA,5,Average
22,Kanpur,BCA,9,Excellent
20,Delhi,BCA,7,Good
24,Lucknow,BCA,8,Excellent
21,Kanpur,BCA,6,Average
23,Delhi,BCA,9,Excellent
19,Lucknow,BCA,7,Good
